Klaszter,Klaszter_ID,Elemszám (db),Elemszám (%),Átlag age,Átlag balance,Min age,Max age,Min balance,Max balance
Cluster_216,216,22,0.048660724160049545,25.0,675.4545454545455,25,25,612,722
Cluster_304,304,22,0.048660724160049545,33.0,1622.909090909091,33,33,1585,1674
Cluster_379,379,22,0.048660724160049545,58.0,914.3181818181819,58,58,879,950
Cluster_718,718,22,0.048660724160049545,54.0,1158.3636363636363,54,54,1111,1213
Cluster_139,139,22,0.048660724160049545,35.0,1831.2727272727273,35,35,1780,1880
Cluster_176,176,22,0.048660724160049545,26.0,-113.04545454545455,26,26,-168,-67
Cluster_167,167,21,0.04644887306186547,33.0,1945.904761904762,33,33,1883,2000
Cluster_273,273,21,0.04644887306186547,24.0,519.6190476190476,24,24,474,578
Cluster_780,780,21,0.04644887306186547,38.0,1959.3809523809523,38,38,1906,2012
Cluster_643,643,21,0.04644887306186547,35.0,2328.5714285714284,35,35,2277,2387
Cluster_633,633,21,0.04644887306186547,26.0,1114.095238095238,26,26,1050,1187
Cluster_234,234,21,0.04644887306186547,36.0,1585.8095238095239,36,36,1548,1619
Cluster_572,572,21,0.04644887306186547,28.0,1370.4761904761904,28,28,1323,1428
Cluster_79,79,20,0.0442370219636814,40.0,-344.1,40,40,-396,-306
Cluster_672,672,20,0.0442370219636814,53.0,1369.45,53,53,1343,1421
Cluster_538,538,20,0.0442370219636814,42.0,1534.25,42,42,1493,1563
Cluster_410,410,20,0.0442370219636814,45.0,1522.7,45,45,1477,1558
Cluster_186,186,20,0.0442370219636814,43.0,1432.65,43,43,1375,1495
Cluster_150,150,20,0.0442370219636814,48.0,1242.6,48,48,1199,1296
Cluster_181,181,20,0.0442370219636814,51.0,729.2,51,51,700,771
Cluster_243,243,20,0.0442370219636814,31.0,2339.4,31,31,2287,2398
Cluster_270,270,20,0.0442370219636814,32.0,1975.35,32,32,1940,2018
Cluster_316,316,20,0.0442370219636814,45.0,1799.2,45,45,1757,1847
Cluster_205,205,19,0.042025170865497334,29.0,-224.3684210526316,29,29,-271,-191
Cluster_68,68,19,0.042025170865497334,39.0,-392.63157894736844,39,39,-455,-342
Cluster_92,92,19,0.042025170865497334,58.0,441.10526315789474,58,58,407,474
Cluster_85,85,19,0.042025170865497334,60.0,580.421052631579,60,60,544,631
Cluster_501,501,19,0.042025170865497334,31.0,1516.6315789473683,31,31,1475,1545
Cluster_335,335,18,0.03981331976731326,43.0,968.1666666666666,43,43,938,999
Cluster_165,165,18,0.03981331976731326,55.0,1531.2222222222222,55,55,1498,1580
Cluster_376,376,18,0.03981331976731326,40.0,1714.6666666666667,40,40,1666,1759
Cluster_187,187,18,0.03981331976731326,34.0,1889.111111111111,34,34,1831,1943
Cluster_202,202,18,0.03981331976731326,28.0,-205.77777777777777,28,28,-247,-156
Cluster_220,220,18,0.03981331976731326,36.0,-501.72222222222223,36,36,-559,-453
Cluster_312,312,18,0.03981331976731326,42.0,2130.8333333333335,42,42,2095,2157
Cluster_198,198,18,0.03981331976731326,25.0,782.7777777777778,25,25,758,815
Cluster_689,689,18,0.03981331976731326,51.0,1567.8333333333333,51,51,1521,1613
Cluster_611,611,18,0.03981331976731326,45.0,2060.8888888888887,45,45,2020,2100
Cluster_75,75,18,0.03981331976731326,46.0,-355.1666666666667,46,46,-408,-319
Cluster_86,86,18,0.03981331976731326,43.0,1221.1666666666667,43,43,1187,1264
Cluster_170,170,18,0.03981331976731326,30.0,1799.5555555555557,30,30,1761,1846
Cluster_508,508,17,0.03760146866912919,44.0,1232.235294117647,44,44,1195,1286
Cluster_478,478,17,0.03760146866912919,33.0,1528.235294117647,33,33,1499,1558
Cluster_453,453,17,0.03760146866912919,39.0,1968.764705882353,39,39,1951,1986
Cluster_350,350,17,0.03760146866912919,42.0,1143.764705882353,42,42,1113,1179
Cluster_152,152,17,0.03760146866912919,29.0,1360.764705882353,29,29,1311,1395
Cluster_356,356,17,0.03760146866912919,40.0,1837.9411764705883,40,40,1802,1876
Cluster_425,425,17,0.03760146866912919,34.0,2047.0588235294117,34,34,2015,2093
Cluster_116,116,17,0.03760146866912919,41.0,-405.05882352941177,41,41,-459,-365
Cluster_346,346,17,0.03760146866912919,44.0,1795.0,44,44,1752,1823
Cluster_323,323,17,0.03760146866912919,50.0,-179.2941176470588,50,50,-232,-130
Cluster_370,370,17,0.03760146866912919,60.0,847.8235294117648,60,60,791,894
Cluster_861,861,17,0.03760146866912919,32.0,3305.176470588235,32,32,3255,3367
Cluster_668,668,16,0.03538961757094512,61.0,2.0625,61,61,0,11
Cluster_650,650,16,0.03538961757094512,38.0,1205.625,38,38,1187,1230
Cluster_55,55,16,0.03538961757094512,53.0,1157.3125,53,53,1126,1203
Cluster_129,129,16,0.03538961757094512,35.0,-507.6875,35,35,-566,-461
Cluster_461,461,16,0.03538961757094512,32.0,2685.0,32,32,2664,2711
Cluster_420,420,16,0.03538961757094512,30.0,3111.25,30,30,3086,3156
Cluster_432,432,16,0.03538961757094512,37.0,2056.0625,37,37,2016,2089
Cluster_20,20,16,0.03538961757094512,44.0,-395.5625,44,44,-448,-357
Cluster_300,300,16,0.03538961757094512,57.0,1167.625,57,57,1142,1198
Cluster_260,260,16,0.03538961757094512,52.0,2248.8125,52,52,2206,2290
Cluster_307,307,16,0.03538961757094512,60.0,741.3125,60,60,703,781
Cluster_206,206,16,0.03538961757094512,24.0,260.6875,24,24,228,304
Cluster_365,365,16,0.03538961757094512,23.0,501.625,23,23,480,537
Cluster_196,196,16,0.03538961757094512,49.0,1870.1875,49,49,1830,1916
Cluster_199,199,16,0.03538961757094512,37.0,1968.0625,37,37,1941,1995
Cluster_88,88,16,0.03538961757094512,46.0,1703.0625,46,46,1660,1740
Cluster_101,101,16,0.03538961757094512,43.0,1327.6875,43,43,1288,1358
Cluster_447,447,16,0.03538961757094512,26.0,978.5625,26,26,940,1028
Cluster_384,384,16,0.03538961757094512,22.0,117.875,22,22,103,148
Cluster_378,378,15,0.03317776647276105,47.0,1725.5333333333333,47,47,1692,1765
Cluster_276,276,15,0.03317776647276105,50.0,1304.2,50,50,1260,1347
Cluster_788,788,15,0.03317776647276105,57.0,1297.0,57,57,1269,1318
Cluster_266,266,15,0.03317776647276105,59.0,620.6666666666666,59,59,593,646
Cluster_67,67,15,0.03317776647276105,30.0,2572.3333333333335,30,30,2530,2616
Cluster_418,418,15,0.03317776647276105,44.0,1142.2,44,44,1127,1161
Cluster_390,390,15,0.03317776647276105,48.0,1155.6666666666667,48,48,1131,1180
Cluster_94,94,15,0.03317776647276105,43.0,-483.8666666666667,43,43,-526,-441
Cluster_419,419,15,0.03317776647276105,35.0,1631.1333333333334,35,35,1599,1662
Cluster_446,446,15,0.03317776647276105,27.0,-215.26666666666668,27,27,-247,-172
Cluster_76,76,15,0.03317776647276105,32.0,2541.4666666666667,32,32,2502,2578
Cluster_676,676,15,0.03317776647276105,35.0,2456.866666666667,35,35,2415,2496
Cluster_149,149,15,0.03317776647276105,40.0,-218.86666666666667,40,40,-253,-186
Cluster_180,180,15,0.03317776647276105,46.0,1094.3333333333333,46,46,1069,1120
Cluster_382,382,15,0.03317776647276105,47.0,1474.2,47,47,1449,1506
Cluster_50,50,14,0.030965915374576984,23.0,91.57142857142857,23,23,66,113
Cluster_481,481,14,0.030965915374576984,35.0,2209.214285714286,35,35,2179,2251
Cluster_635,635,14,0.030965915374576984,54.0,2219.3571428571427,54,54,2177,2255
Cluster_172,172,14,0.030965915374576984,34.0,2166.5,34,34,2126,2211
Cluster_450,450,14,0.030965915374576984,31.0,3313.1428571428573,31,31,3283,3343
Cluster_311,311,14,0.030965915374576984,44.0,2389.0,44,44,2340,2422
Cluster_275,275,14,0.030965915374576984,60.0,952.5,60,60,914,987
Cluster_299,299,14,0.030965915374576984,41.0,-205.92857142857142,41,41,-233,-190
Cluster_226,226,14,0.030965915374576984,50.0,1113.2857142857142,50,50,1088,1138
Cluster_347,347,14,0.030965915374576984,55.0,1101.7857142857142,55,55,1078,1126
Cluster_236,236,14,0.030965915374576984,22.0,367.7857142857143,22,22,330,410
Cluster_194,194,14,0.030965915374576984,51.0,-259.0,51,51,-287,-227
Cluster_151,151,14,0.030965915374576984,29.0,1092.5714285714287,29,29,1052,1135
Cluster_340,340,14,0.030965915374576984,54.0,625.2857142857143,54,54,582,658
Cluster_169,169,14,0.030965915374576984,40.0,1309.0,40,40,1289,1327
Cluster_523,523,14,0.030965915374576984,29.0,1584.5714285714287,29,29,1535,1615
Cluster_352,352,14,0.030965915374576984,30.0,1551.0714285714287,30,30,1527,1572
Cluster_1004,1004,13,0.028754064276392915,62.0,2.3076923076923075,62,62,0,13
Cluster_550,550,13,0.028754064276392915,34.0,2576.6153846153848,34,34,2542,2611
Cluster_518,518,13,0.028754064276392915,31.0,-561.0,31,31,-596,-535
Cluster_540,540,13,0.028754064276392915,49.0,1334.2307692307693,49,49,1304,1359
Cluster_408,408,13,0.028754064276392915,47.0,-314.7692307692308,47,47,-346,-287
Cluster_113,113,13,0.028754064276392915,34.0,2455.923076923077,34,34,2412,2495
Cluster_441,441,13,0.028754064276392915,32.0,2345.3846153846152,32,32,2313,2378
Cluster_424,424,13,0.028754064276392915,39.0,2625.6153846153848,39,39,2598,2666
Cluster_687,687,13,0.028754064276392915,58.0,1246.6923076923076,58,58,1227,1280
Cluster_486,486,13,0.028754064276392915,32.0,3170.153846153846,32,32,3136,3201
Cluster_354,354,13,0.028754064276392915,53.0,-189.23076923076923,53,53,-233,-162
Cluster_360,360,13,0.028754064276392915,59.0,686.5384615384615,59,59,667,712
Cluster_211,211,13,0.028754064276392915,25.0,1118.0,25,25,1098,1141
Cluster_178,178,13,0.028754064276392915,53.0,1783.8461538461538,53,53,1759,1797
Cluster_342,342,13,0.028754064276392915,46.0,1202.4615384615386,46,46,1167,1232
Cluster_338,338,13,0.028754064276392915,45.0,1955.4615384615386,45,45,1929,1992
Cluster_816,816,13,0.028754064276392915,34.0,2662.923076923077,34,34,2633,2700
Cluster_333,333,13,0.028754064276392915,43.0,1634.0,43,43,1612,1667
Cluster_306,306,13,0.028754064276392915,54.0,1465.0,54,54,1433,1502
Cluster_229,229,13,0.028754064276392915,25.0,-80.38461538461539,25,25,-121,-41
Cluster_264,264,12,0.026542213178208842,44.0,1440.0833333333333,44,44,1422,1467
Cluster_629,629,12,0.026542213178208842,39.0,1667.75,39,39,1646,1701
Cluster_459,459,12,0.026542213178208842,33.0,2736.9166666666665,33,33,2695,2780
Cluster_381,381,12,0.026542213178208842,49.0,1242.3333333333333,49,49,1202,1280
Cluster_983,983,12,0.026542213178208842,22.0,235.75,22,22,216,254
Cluster_314,314,12,0.026542213178208842,60.0,2062.4166666666665,60,60,2041,2090
Cluster_558,558,12,0.026542213178208842,42.0,1451.0833333333333,42,42,1430,1468
Cluster_556,556,12,0.026542213178208842,29.0,1439.25,29,29,1413,1457
Cluster_817,817,12,0.026542213178208842,56.0,1938.0833333333333,56,56,1906,1956
Cluster_288,288,12,0.026542213178208842,53.0,2247.6666666666665,53,53,2215,2272
Cluster_332,332,12,0.026542213178208842,40.0,1950.6666666666667,40,40,1927,1970
Cluster_490,490,12,0.026542213178208842,27.0,-419.4166666666667,27,27,-446,-392
Cluster_487,487,12,0.026542213178208842,51.0,-179.5,51,51,-206,-153
Cluster_313,313,12,0.026542213178208842,40.0,2637.6666666666665,40,40,2596,2679
Cluster_254,254,12,0.026542213178208842,59.0,3401.4166666666665,59,59,3353,3444
Cluster_156,156,12,0.026542213178208842,35.0,2138.5833333333335,35,35,2110,2161
Cluster_698,698,12,0.026542213178208842,56.0,1197.25,56,56,1167,1238
Cluster_210,210,12,0.026542213178208842,23.0,359.4166666666667,23,23,336,382
Cluster_189,189,12,0.026542213178208842,40.0,2145.8333333333335,40,40,2129,2172
Cluster_33,33,11,0.024330362080024773,48.0,-274.54545454545456,48,48,-314,-244
Cluster_237,237,11,0.024330362080024773,24.0,825.0909090909091,24,24,795,845
Cluster_675,675,11,0.024330362080024773,49.0,1695.2727272727273,49,49,1669,1730
Cluster_329,329,11,0.024330362080024773,51.0,1338.1818181818182,51,51,1315,1357
Cluster_585,585,11,0.024330362080024773,53.0,1301.7272727272727,53,53,1278,1319
Cluster_543,543,11,0.024330362080024773,27.0,1399.7272727272727,27,27,1372,1423
Cluster_448,448,11,0.024330362080024773,60.0,669.9090909090909,60,60,646,686
Cluster_213,213,11,0.024330362080024773,36.0,2170.3636363636365,36,36,2151,2195
Cluster_789,789,11,0.024330362080024773,47.0,3676.3636363636365,47,47,3644,3696
Cluster_531,531,11,0.024330362080024773,33.0,2068.090909090909,33,33,2044,2099
Cluster_279,279,11,0.024330362080024773,45.0,2412.4545454545455,45,45,2388,2433
Cluster_583,583,11,0.024330362080024773,52.0,2083.6363636363635,52,52,2063,2104
Cluster_302,302,11,0.024330362080024773,40.0,1399.090909090909,40,40,1380,1416
Cluster_285,285,11,0.024330362080024773,59.0,1554.8181818181818,59,59,1521,1585
Cluster_807,807,11,0.024330362080024773,32.0,2205.3636363636365,32,32,2172,2233
Cluster_592,592,11,0.024330362080024773,58.0,1310.5454545454545,58,58,1298,1333
Cluster_219,219,11,0.024330362080024773,23.0,293.54545454545456,23,23,272,318
Cluster_403,403,11,0.024330362080024773,28.0,1834.090909090909,28,28,1808,1861
Cluster_171,171,11,0.024330362080024773,35.0,-335.54545454545456,35,35,-371,-312
Cluster_375,375,11,0.024330362080024773,29.0,-500.8181818181818,29,29,-527,-475
Cluster_125,125,11,0.024330362080024773,46.0,2285.909090909091,46,46,2262,2313
Cluster_114,114,11,0.024330362080024773,52.0,-187.1818181818182,52,52,-211,-163
Cluster_269,269,11,0.024330362080024773,48.0,2236.181818181818,48,48,2201,2266
Cluster_148,148,11,0.024330362080024773,38.0,1819.2727272727273,38,38,1788,1852
Cluster_373,373,11,0.024330362080024773,51.0,1429.0,51,51,1414,1446
Cluster_612,612,11,0.024330362080024773,35.0,2978.181818181818,35,35,2953,3015
Cluster_617,617,10,0.0221185109818407,47.0,1373.6,47,47,1348,1388
Cluster_494,494,10,0.0221185109818407,60.0,-63.3,60,60,-85,-41
Cluster_328,328,10,0.0221185109818407,48.0,1093.5,48,48,1078,1108
Cluster_766,766,10,0.0221185109818407,32.0,2081.2,32,32,2044,2114
Cluster_252,252,10,0.0221185109818407,46.0,2507.2,46,46,2473,2533
Cluster_192,192,10,0.0221185109818407,47.0,1288.1,47,47,1265,1315
Cluster_488,488,10,0.0221185109818407,45.0,-308.7,45,45,-322,-288
Cluster_507,507,10,0.0221185109818407,25.0,1182.9,25,25,1163,1199
Cluster_253,253,10,0.0221185109818407,26.0,-213.3,26,26,-236,-188
Cluster_530,530,10,0.0221185109818407,38.0,2347.5,38,38,2322,2368
Cluster_91,91,10,0.0221185109818407,42.0,1681.1,42,42,1654,1713
Cluster_90,90,10,0.0221185109818407,38.0,4318.3,38,38,4293,4336
Cluster_639,639,10,0.0221185109818407,28.0,-491.4,28,28,-522,-457
Cluster_42,42,10,0.0221185109818407,59.0,2366.7,59,59,2342,2396
Cluster_58,58,10,0.0221185109818407,51.0,2116.9,51,51,2085,2156
Cluster_77,77,10,0.0221185109818407,58.0,1398.5,58,58,1382,1425
Cluster_644,644,10,0.0221185109818407,33.0,2366.6,33,33,2358,2376
Cluster_649,649,10,0.0221185109818407,50.0,1836.7,50,50,1811,1859
Cluster_655,655,10,0.0221185109818407,28.0,1588.3,28,28,1579,1609
Cluster_259,259,10,0.0221185109818407,32.0,3829.7,32,32,3809,3850
Cluster_257,257,10,0.0221185109818407,52.0,1633.2,52,52,1618,1648
Cluster_185,185,10,0.0221185109818407,31.0,-724.5,31,31,-759,-692
Cluster_594,594,10,0.0221185109818407,43.0,1804.3,43,43,1781,1825
Cluster_239,239,10,0.0221185109818407,36.0,-404.1,36,36,-435,-381
Cluster_143,143,10,0.0221185109818407,34.0,2299.2,34,34,2279,2321
Cluster_411,411,10,0.0221185109818407,21.0,221.5,21,21,200,243
Cluster_705,705,10,0.0221185109818407,40.0,2254.6,40,40,2226,2284
Cluster_128,128,10,0.0221185109818407,44.0,-308.0,44,44,-337,-289
Cluster_771,771,10,0.0221185109818407,25.0,945.0,25,25,931,963
Cluster_703,703,10,0.0221185109818407,49.0,1797.0,49,49,1769,1811
Cluster_750,750,10,0.0221185109818407,47.0,-63.4,47,47,-81,-49
Cluster_769,769,10,0.0221185109818407,43.0,-408.3,43,43,-423,-391
Cluster_336,336,10,0.0221185109818407,48.0,1739.1,48,48,1724,1764
Cluster_123,123,10,0.0221185109818407,57.0,1618.7,57,57,1592,1640
Cluster_215,215,10,0.0221185109818407,31.0,2593.9,31,31,2577,2616
Cluster_41,41,9,0.01990665988365663,43.0,1931.111111111111,43,43,1916,1943
Cluster_310,310,9,0.01990665988365663,47.0,1556.3333333333333,47,47,1533,1573
Cluster_802,802,9,0.01990665988365663,32.0,2837.6666666666665,32,32,2802,2870
Cluster_574,574,9,0.01990665988365663,29.0,1275.7777777777778,29,29,1258,1296
Cluster_262,262,9,0.01990665988365663,27.0,1298.888888888889,27,27,1277,1327
Cluster_256,256,9,0.01990665988365663,45.0,-390.55555555555554,45,45,-407,-357
Cluster_272,272,9,0.01990665988365663,60.0,1400.2222222222222,60,60,1369,1433
Cluster_606,606,9,0.01990665988365663,40.0,1605.7777777777778,40,40,1584,1623
